DATAFLOW;LAST UPDATE;freq;cons_fp;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2012;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2013;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2014;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2015;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2016;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2017;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2018;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2019;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2020;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FI;2021;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2011;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2012;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2013;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2014;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2015;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2016;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2017;96;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2018;96;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2019;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2020;89;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;FR;2021;92;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2012;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2013;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2014;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2015;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2016;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2017;121;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2018;126;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2019;123;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2020;119;
